time,f1,f2,f3,f4,COPx,COPy,W,W_sync
1745923161.2058814,3.7344799041748047,1.022695541381836,0.5729262828826904,9.873397827148438,-22.122745513916016,-7.858199119567871,15.203499794006348,0
1745923161.2187014,3.9444761276245117,1.0610113143920898,0.6291388869285583,10.25621509552002,-22.043838500976562,-7.7703375816345215,15.890841484069824,0
1745923161.2306468,4.245443344116211,1.1035757064819336,0.7032695412635803,10.812369346618652,-22.00027084350586,-7.678721904754639,16.86465835571289,0
1745923161.2407777,4.685807704925537,1.2623767852783203,0.8085797429084778,11.611411094665527,-21.686166763305664,-7.399097919464111,18.368175506591797,0
1745923161.2507734,5.272226333618164,1.4016599655151367,0.9513463973999023,12.716897010803223,-21.52239418029785,-7.220556735992432,20.34212875366211,0
1745923161.2612753,5.93694543838501,1.5457229614257812,1.1197235584259033,14.078156471252441,-21.418807983398438,-7.14354133605957,22.68054962158203,0
1745923161.2727013,6.673648834228516,1.6976008415222168,1.2923474311828613,15.584486961364746,-21.368324279785156,-7.074488162994385,25.248085021972656,0
1745923161.2862797,7.48440408706665,1.868598461151123,1.479238510131836,17.248981475830078,-21.323692321777344,-7.011075019836426,28.081222534179688,0
1745923161.2954104,8.333417892456055,2.039216995239258,1.6827067136764526,19.054840087890625,-21.300336837768555,-6.996524810791016,31.11018180847168,0
1745923161.3062217,9.211832046508789,2.206364154815674,1.9054337739944458,20.93265151977539,-21.278295516967773,-7.000692367553711,34.25627899169922,0
1745923161.3158934,10.097415924072266,2.3814969062805176,2.151610851287842,22.846965789794922,-21.22649383544922,-7.015223503112793,37.47748947143555,0
1745923161.327524,10.995652198791504,2.55958890914917,2.406989097595215,24.756744384765625,-21.16956329345703,-7.018309593200684,40.71897506713867,0
1745923161.3409758,11.922321319580078,2.747809410095215,2.682446002960205,26.703842163085938,-21.09761619567871,-7.014625549316406,44.056419372558594,0
1745923161.3494048,12.851058006286621,2.9467663764953613,2.9773106575012207,28.71277618408203,-21.014047622680664,-7.027841091156006,47.487911224365234,0
1745923161.3628798,13.741877555847168,3.148643970489502,3.277930974960327,30.736698150634766,-20.930219650268555,-7.0642409324646,50.9051513671875,0
1745923161.3757906,14.545709609985352,3.5346078872680664,3.5717527866363525,32.67496871948242,-20.6748046875,-7.022183895111084,54.32704162597656,0
1745923161.3830044,15.258665084838867,3.7070279121398926,4.066789150238037,34.427642822265625,-20.423723220825195,-7.137184143066406,57.46012496948242,0
1745923161.39451,15.857564926147461,3.8608784675598145,4.263980388641357,35.96720886230469,-20.410429000854492,-7.185493469238281,59.94963073730469,0
1745923161.4048994,16.346675872802734,3.9856700897216797,4.41635799407959,37.23444747924805,-20.409008026123047,-7.222731590270996,61.983150482177734,0
1745923161.4162009,16.746429443359375,4.093997001647949,4.534985542297363,38.244651794433594,-20.40454864501953,-7.241793632507324,63.62006378173828,0
1745923161.4267118,17.024484634399414,4.195798873901367,4.624743461608887,39.01731491088867,-20.3846378326416,-7.259331703186035,64.86234283447266,0
1745923161.438881,17.174673080444336,4.26416015625,4.677547454833984,39.474388122558594,-20.365760803222656,-7.27198600769043,65.59076690673828,0
1745923161.4501934,17.245576858520508,4.311371803283691,4.707962989807129,39.633384704589844,-20.335418701171875,-7.260768890380859,65.89830017089844,0
1745923161.4591606,17.25674819946289,4.353386402130127,4.711464881896973,39.41222381591797,-20.2774658203125,-7.192409992218018,65.73382568359375,0
1745923161.471749,17.233854293823242,4.383944034576416,4.69680643081665,39.14609909057617,-20.231643676757812,-7.129885196685791,65.46070098876953,0
1745923161.4827452,17.20043182373047,4.405928134918213,4.674232006072998,38.83808517456055,-20.19135093688965,-7.064411163330078,65.1186752319336,0
1745923161.492924,17.162155151367188,4.424687385559082,4.653669357299805,38.509910583496094,-20.148500442504883,-6.997816562652588,64.75041961669922,0
1745923161.5054789,17.13484001159668,4.473378658294678,4.6389360427856445,38.18503952026367,-20.080209732055664,-6.914724349975586,64.43218994140625,0
1745923161.5141943,17.098289489746094,4.496974945068359,4.626643180847168,37.859718322753906,-20.027002334594727,-6.846159934997559,64.08162689208984,0
1745923161.5257077,17.037343978881836,4.507938385009766,4.602001190185547,37.528350830078125,-19.988197326660156,-6.788883209228516,63.675636291503906,0
1745923161.5385098,16.965852737426758,4.51711893081665,4.5729265213012695,37.21527099609375,-19.95458984375,-6.739400386810303,63.27116775512695,0
1745923161.5487382,16.870784759521484,4.511637210845947,4.53925085067749,36.88095474243164,-19.929481506347656,-6.700251579284668,62.80262756347656,0
1745923161.5586288,16.769969940185547,4.501698017120361,4.495442867279053,36.53076934814453,-19.912405014038086,-6.659060955047607,62.297882080078125,0
1745923161.5717218,16.71480941772461,4.497581958770752,4.460165977478027,36.236602783203125,-19.897258758544922,-6.609230995178223,61.90916061401367,0
1745923161.5800023,16.745956420898438,4.511504650115967,4.449362754821777,36.08193588256836,-19.878644943237305,-6.550553798675537,61.788761138916016,0
1745923161.594526,16.849103927612305,4.538629055023193,4.463909149169922,36.04539108276367,-19.855146408081055,-6.487433910369873,61.89703369140625,0
1745923161.6077893,16.983911514282227,4.5805864334106445,4.494716644287109,36.044090270996094,-19.816587448120117,-6.416090965270996,62.10330581665039,0
1745923161.612918,17.130573272705078,4.634361267089844,4.527274131774902,36.05514144897461,-19.771074295043945,-6.338153839111328,62.34735107421875,0
1745923161.6249385,17.297927856445312,4.686201095581055,4.561433792114258,36.12890625,-19.737184524536133,-6.267789840698242,62.674468994140625,0
1745923161.6376162,17.48161506652832,4.797240734100342,4.600939750671387,36.289451599121094,-19.66844367980957,-6.187223434448242,63.169246673583984,0
1745923161.6476483,17.67679786682129,4.848207950592041,4.645920753479004,36.52544021606445,-19.653038024902344,-6.147500991821289,63.69636535644531,0
1745923161.6572194,17.887022018432617,4.902741432189941,4.695446968078613,36.82319641113281,-19.641860961914062,-6.115940570831299,64.30841064453125,0
1745923161.6719394,18.117523193359375,4.962320327758789,4.753912925720215,37.16340637207031,-19.628726959228516,-6.086219787597656,64.99716186523438,0
1745923161.682683,18.36111068725586,5.025617599487305,4.826386451721191,37.52829360961914,-19.60784149169922,-6.058996677398682,65.74140930175781,0
1745923161.6907978,18.590778350830078,5.088231086730957,4.899622917175293,37.874813079833984,-19.583284378051758,-6.034359931945801,66.45344543457031,0
1745923161.7062361,18.769723892211914,5.15336799621582,4.963248252868652,38.116397857666016,-19.544668197631836,-6.0040483474731445,67.00273895263672,0
1745923161.7125092,18.889392852783203,5.219357490539551,5.00914192199707,38.162837982177734,-19.48647689819336,-5.9501118659973145,67.28073120117188,0
1745923161.7238133,18.97435188293457,5.282198905944824,5.042724609375,38.042293548583984,-19.413986206054688,-5.871527194976807,67.34156799316406,0
1745923161.741363,19.0471134185791,5.344263076782227,5.06766414642334,37.83927536010742,-19.336071014404297,-5.777660369873047,67.2983169555664,0
1745923161.7455537,19.101343154907227,5.405245780944824,5.095714569091797,37.60390853881836,-19.250009536743164,-5.684798240661621,67.20620727539062,0
1745923161.7577384,19.14857292175293,5.522184371948242,5.1196489334106445,37.35342788696289,-19.124387741088867,-5.567878723144531,67.14382934570312,0
1745923161.7712977,19.21479034423828,5.580472946166992,5.141105651855469,37.14530563354492,-19.049592971801758,-5.475625514984131,67.08167266845703,0
1745923161.7781308,19.292011260986328,5.639142036437988,5.17258358001709,37.00136947631836,-18.977489471435547,-5.395995616912842,67.1051025390625,0
1745923161.789335,19.357223510742188,5.695382118225098,5.203557968139648,36.862060546875,-18.906484603881836,-5.323044776916504,67.11822509765625,0
1745923161.804377,19.42444610595703,5.750958442687988,5.229540824890137,36.734336853027344,-18.84130859375,-5.251142978668213,67.1392822265625,0
1745923161.8117826,19.52031135559082,5.8087358474731445,5.264333724975586,36.69560241699219,-18.78464126586914,-5.190280437469482,67.28898620605469,0
1745923161.8222587,19.605989456176758,5.854923248291016,5.309147834777832,36.70077896118164,-18.73395347595215,-5.150806903839111,67.47084045410156,0
1745923161.8384242,19.663368225097656,5.905719757080078,5.354595184326172,36.651920318603516,-18.668560028076172,-5.108144760131836,67.57560729980469,0
1745923161.8440797,19.690683364868164,5.958526611328125,5.396130561828613,36.49483108520508,-18.58544158935547,-5.049983501434326,67.54017639160156,0
1745923161.8568683,19.68099021911621,6.011733055114746,5.427700996398926,36.24538803100586,-18.4906005859375,-4.98157262802124,67.36581420898438,0
1745923161.8666053,19.6585693359375,6.064539909362793,5.44228458404541,35.937808990478516,-18.397146224975586,-4.899864673614502,67.10320281982422,0
1745923161.8777006,19.650432586669922,6.120553016662598,5.449065208435059,35.6417350769043,-18.30988121032715,-4.811659812927246,66.86178588867188,0
1745923161.8883116,19.674598693847656,6.182066917419434,5.455974578857422,35.42478942871094,-18.234411239624023,-4.727572917938232,66.7374267578125,0
1745923161.9063702,19.69369888305664,6.220609664916992,5.471247673034668,35.25572204589844,-18.17509651184082,-4.667766094207764,66.64128112792969,0
1745923161.9140947,19.70614242553711,6.254941940307617,5.493487358093262,35.07290267944336,-18.110671997070312,-4.610297203063965,66.52747344970703,0
1745923161.9219866,19.733816146850586,6.289730072021484,5.513714790344238,34.904876708984375,-18.05160140991211,-4.54976224899292,66.442138671875,0
1745923161.9366703,19.767351150512695,6.328784942626953,5.541448593139648,34.77983474731445,-17.991586685180664,-4.49773645401001,66.41741943359375,0
1745923161.9427557,19.801589965820312,6.368409156799316,5.566295623779297,34.682395935058594,-17.937419891357422,-4.451346397399902,66.41868591308594,0
1745923161.9556155,19.855573654174805,6.415355682373047,5.6003618240356445,34.61854934692383,-17.879955291748047,-4.405298709869385,66.48983764648438,0
1745923161.9710433,19.91987419128418,6.464103698730469,5.636440277099609,34.59531021118164,-17.827770233154297,-4.365384578704834,66.61572265625,0
1745923161.976751,20.00631332397461,6.504429817199707,5.672779083251953,34.608272552490234,-17.790307998657227,-4.329521179199219,66.79179382324219,0
